# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.90000000000000002 30 2.01812397959063416e-01 2.01812397959063416e-01 1.63849952149061756e-01 0.00000000000000000e+00 0.00000000000000000e+00 3.79624458100016604e-02 1.88107599899299260e-01
0.90000000000000002 31 1.42483923296693404e-01 1.42483923296693432e-01 1.01559825270381973e-01 2.77555756156289135e-17 1.94797946136236352e-16 4.09240980263114312e-02 2.87219056574512133e-01
0.90000000000000002 32 5.69579410684859302e-02 5.69579410684860066e-02 2.12216742565544784e-02 7.63278329429795122e-17 1.34007359660707064e-15 3.57362668119314553e-02 6.27415003800126048e-01
0.90000000000000002 33 -3.71953331208412716e-02 -3.71953331208411675e-02 -6.08620140801147264e-02 1.04083408558608426e-16 2.79829214650287544e-15 2.36666809592734548e-02 6.36280924877980270e-01
0.90000000000000002 34 -1.21249724777846013e-01 -1.21249724777845902e-01 -1.28538079396976951e-01 1.11022302462515654e-16 9.15649933770414153e-16 7.28835461913093785e-03 6.01102776314311263e-02
0.90000000000000002 35 -1.78999045217018121e-01 -1.78999045217018010e-01 -1.68940178623667669e-01 1.11022302462515654e-16 6.20239634953987680e-16 1.00588665933504517e-02 5.61950851813488722e-02
0.90000000000000002 36 -1.99841628392856879e-01 -1.99841628392856768e-01 -1.74901239865504737e-01 1.11022302462515654e-16 5.55551430176817121e-16 2.49403885273521420e-02 1.24800767127073761e-01
0.90000000000000002 37 -1.80692685340487713e-01 -1.80692685340487630e-01 -1.46193649424638528e-01 8.32667268468867405e-17 4.60819577117819314e-16 3.44990359158491855e-02 1.90926577082193627e-01
0.90000000000000002 38 -1.26384631840716216e-01 -1.26384631840716188e-01 -8.93875121352480373e-02 2.77555756156289135e-17 2.19611951321815261e-16 3.69971197054681789e-02 2.92734323521992856e-01
0.90000000000000002 39 -4.85162293236692452e-02 -4.85162293236692452e-02 -1.63896387906775701e-02 0.00000000000000000e+00 0.00000000000000000e+00 3.21265905329916751e-02 6.62182345595401012e-01
0.90000000000000002 40 3.69874184218762156e-02 3.69874184218761948e-02 5.80202413814374582e-02 2.08166817117216851e-17 5.62804396735341043e-16 2.10328229595612426e-02 5.68648039170026931e-01
0.90000000000000002 41 1.13098340875647463e-01 1.13098340875647435e-01 1.19152710934973025e-01 2.77555756156289135e-17 2.45410988355226095e-16 6.05437005932556171e-03 5.35319087128111812e-02
